year,mine,mineral,state,district,production,target
2019,Mine A,Iron Ore,Odisha,Keonjhar,720,780
2020,Mine A,Iron Ore,Odisha,Keonjhar,760,800
2021,Mine A,Iron Ore,Odisha,Keonjhar,830,840
2022,Mine A,Iron Ore,Odisha,Keonjhar,905,880
2023,Mine A,Iron Ore,Odisha,Keonjhar,940,920
2024,Mine A,Iron Ore,Odisha,Keonjhar,615,980
2025,Mine A,Iron Ore,Odisha,Keonjhar,860,1010
2021,Mine B,Manganese,Jharkhand,Singhbhum,220,240
2022,Mine B,Manganese,Jharkhand,Singhbhum,250,255
2023,Mine B,Manganese,Jharkhand,Singhbhum,245,260
2024,Mine B,Manganese,Jharkhand,Singhbhum,270,270
2025,Mine B,Manganese,Jharkhand,Singhbhum,292,285
